Paired,Statistics,P-value,Variables,logp,index
"DMSO, JWG-071",3.5795999716908264,0.004119510994071919,Cells_AreaShape_Area,2.3851543337679604,1
"DMSO, AX15836",10.246385674492426,6.219923431212102e-09,Cells_AreaShape_Area,8.20621496154821,2
"DMSO, JWG-119",-11.3584389885549,6.3076158159933366e-06,Cells_AreaShape_Area,5.200134766528176,3
"JWG-071, AX15836",3.8865842928056553,0.0020864865871011483,Cells_AreaShape_Area,2.680584402788688,4
"JWG-071, JWG-119",-12.177036486129142,1.4458127138738568e-06,Cells_AreaShape_Area,5.839887960567759,5
"AX15836, JWG-119",-13.852373385473536,1.1891630812901683e-06,Cells_AreaShape_Area,5.924758582347057,6
"DMSO, JWG-071",-3.1062533259488565,0.014545243660442686,Cells_AreaShape_Compactness,1.8372789990989868,7
"DMSO, AX15836",-0.33711107708646093,0.7451597178201617,Cells_AreaShape_Compactness,0.12775063042806611,8
"DMSO, JWG-119",6.250932516627306,0.00038855799650674034,Cells_AreaShape_Compactness,3.4105441488502106,9
"JWG-071, AX15836",1.7018225419697122,0.1121931328599545,Cells_AreaShape_Compactness,0.9500337246511483,10
"JWG-071, JWG-119",7.026098940791734,5.641207548434958e-05,Cells_AreaShape_Compactness,4.248627921639281,11
"AX15836, JWG-119",5.755152207734176,0.0001576323323924954,Cells_AreaShape_Compactness,3.8023546983980157,12
"DMSO, JWG-071",-1.1981556325695342,0.2668506391798924,Cells_AreaShape_Eccentricity,0.5737317526056898,13
"DMSO, AX15836",-0.39516792910840376,0.7030170327962155,Cells_AreaShape_Eccentricity,0.15303415270450568,14
"DMSO, JWG-119",4.7047984614457325,0.0019101046233857301,Cells_AreaShape_Eccentricity,2.7189428442105483,15
"JWG-071, AX15836",0.7163313851803006,0.48628540738384196,Cells_AreaShape_Eccentricity,0.3131087626912547,16
"JWG-071, JWG-119",4.502257116619663,0.0005662473643286137,Cells_AreaShape_Eccentricity,3.246993806454084,17
"AX15836, JWG-119",4.282005835715583,0.001154433347733772,Cells_AreaShape_Eccentricity,2.9376311364125005,18
"DMSO, JWG-071",3.5358212548805854,0.00811309447415781,Cells_AreaShape_Extent,2.0908134667848084,19
"DMSO, AX15836",0.5693895576537944,0.5853542832778004,Cells_AreaShape_Extent,0.23258119938683602,20
"DMSO, JWG-119",-7.250125976666151,0.00016485207269792773,Cells_AreaShape_Extent,3.7829055880682123,21
"JWG-071, AX15836",-2.1048696431536653,0.05386348205226729,Cells_AreaShape_Extent,1.268705574667464,22
"JWG-071, JWG-119",-7.922722339735734,5.138030065596013e-05,Cells_AreaShape_Extent,4.28920335875316,23
"AX15836, JWG-119",-7.177810611333852,9.919308352155866e-05,Cells_AreaShape_Extent,4.003518609026689,24
"DMSO, JWG-071",8.662318625563513,1.6984547770685763e-05,Cells_AreaShape_FormFactor,4.769946012132804,25
"DMSO, AX15836",-2.171689913856048,0.0644424836457163,Cells_AreaShape_FormFactor,1.1908277300026058,26
"DMSO, JWG-119",-5.746280045651636,0.0006961821512501946,Cells_AreaShape_FormFactor,3.1572771153707717,27
"JWG-071, AX15836",-6.138863352872195,8.89151610329026e-05,Cells_AreaShape_FormFactor,4.05102418063221,28
"JWG-071, JWG-119",-6.610689537733402,0.00027736672501831077,Cells_AreaShape_FormFactor,3.5569456413439586,29
"AX15836, JWG-119",-5.238700757583935,0.0009638789945011949,Cells_AreaShape_FormFactor,3.0159774840629026,30
"DMSO, JWG-071",6.608537177354163,0.00012818303636704444,Cells_AreaShape_Solidity,3.892169445173281,31
"DMSO, AX15836",-0.22461573953781902,0.8284113926963801,Cells_AreaShape_Solidity,0.08175393711906111,32
"DMSO, JWG-119",-7.135752222744851,0.000184485647159403,Cells_AreaShape_Solidity,3.7340374159653,33
"JWG-071, AX15836",-3.202764463939482,0.009383890620182916,Cells_AreaShape_Solidity,2.027617063054488,34
"JWG-071, JWG-119",-7.998904822239276,7.543389080599716e-05,Cells_AreaShape_Solidity,4.122433491223523,35
"AX15836, JWG-119",-6.818189340490366,0.00012884201823713259,Cells_AreaShape_Solidity,3.889942480822349,36
"DMSO, JWG-071",1.7709728637299538,0.11438851157091472,Cells_AreaShape_Zernike_0_0,0.9416175910316169,37
"DMSO, AX15836",-1.1825886955319038,0.27254064372016507,Cells_AreaShape_Zernike_0_0,0.5645687226454581,38
"DMSO, JWG-119",-6.135625693008374,0.00044605125347851296,Cells_AreaShape_Zernike_0_0,3.350615235852864,39
"JWG-071, AX15836",-2.0814496231818342,0.05733434767128118,Cells_AreaShape_Zernike_0_0,1.2415851243677518,40
"JWG-071, JWG-119",-6.423289694509157,0.00015500380411363583,Cells_AreaShape_Zernike_0_0,3.809657643214951,41
"AX15836, JWG-119",-5.201703227705874,0.00048422507933651557,Cells_AreaShape_Zernike_0_0,3.3149527210169727,42
"DMSO, JWG-071",4.220073221790179,0.0028138388728166696,Cells_AreaShape_Zernike_2_0,2.550700774936128,43
"DMSO, AX15836",3.422378967200163,0.009215218333780745,Cells_AreaShape_Zernike_2_0,2.0354943706963566,44
"DMSO, JWG-119",-7.031688146156476,0.00010488647717640197,Cells_AreaShape_Zernike_2_0,3.9792805009984584,45
"JWG-071, AX15836",-0.3096343472674648,0.761448840696717,Cells_AreaShape_Zernike_2_0,0.11835927019987816,46
"JWG-071, JWG-119",-8.276480430536086,9.248382437957191e-07,Cells_AreaShape_Zernike_2_0,6.033934219660965,47
"AX15836, JWG-119",-7.537997634559401,2.818927144811931e-06,Cells_AreaShape_Zernike_2_0,5.549916148326705,48
"DMSO, JWG-071",-1.1154034596415052,0.2969082787054606,Cells_AreaShape_Zernike_3_1,0.5273776927846455,49
"DMSO, AX15836",-0.0015475172324259836,0.9988042998720419,Cells_AreaShape_Zernike_3_1,0.0005195966704284779,50
"DMSO, JWG-119",7.730017435010804,9.528837684836818e-05,Cells_AreaShape_Zernike_3_1,4.020960070804169,51
"JWG-071, AX15836",0.7513113218343662,0.46518591729611725,Cells_AreaShape_Zernike_3_1,0.33237344126336976,52
"JWG-071, JWG-119",7.517551282279703,1.890236491377138e-05,Cells_AreaShape_Zernike_3_1,4.723483856951145,53
"AX15836, JWG-119",6.789083395519882,2.9310961593459846e-05,Cells_AreaShape_Zernike_3_1,4.532969933595576,54
"DMSO, JWG-071",4.69477631051288,0.0006230612347377576,Cells_AreaShape_Zernike_3_3,3.2054692685866804,55
"DMSO, AX15836",-2.743877283777194,0.02547669675768072,Cells_AreaShape_Zernike_3_3,1.5938568821808625,56
"DMSO, JWG-119",2.1498824436676482,0.06763201604379704,Cells_AreaShape_Zernike_3_3,1.169847666490871,57
"JWG-071, AX15836",-4.879250981474977,0.000602464946773345,Cells_AreaShape_Zernike_3_3,3.220068216580103,58
"JWG-071, JWG-119",0.9712821452977595,0.36098502808580735,Cells_AreaShape_Zernike_3_3,0.4425108101568237,59
"AX15836, JWG-119",3.1322890255203233,0.011039687630203946,Cells_AreaShape_Zernike_3_3,1.9570432148675074,60
"DMSO, JWG-071",-0.23654469883278856,0.8193355103048685,Cells_AreaShape_Zernike_4_0,0.08653822224880124,61
"DMSO, AX15836",-0.9915880321353135,0.3506954881680064,Cells_AreaShape_Zernike_4_0,0.4550698214476753,62
"DMSO, JWG-119",-6.034934601023214,0.000517576493059368,Cells_AreaShape_Zernike_4_0,3.286025456385783,63
"JWG-071, AX15836",-0.41785853678003887,0.6829027484088184,Cells_AreaShape_Zernike_4_0,0.16564113941751246,64
"JWG-071, JWG-119",-5.8641446683162535,0.0004564849485499933,Cells_AreaShape_Zernike_4_0,3.340573537668451,65
"AX15836, JWG-119",-5.8119963192133985,0.0005520162279120191,Cells_AreaShape_Zernike_4_0,3.2580481548993347,66
"DMSO, JWG-071",-2.3343730720810147,0.049718480241890975,Cells_AreaShape_Zernike_4_2,1.3034821550233135,67
"DMSO, AX15836",-1.493563904932123,0.1708093930719082,Cells_AreaShape_Zernike_4_2,0.7674882504670918,68
"DMSO, JWG-119",2.947714803536102,0.021269350804851338,Cells_AreaShape_Zernike_4_2,1.6722457656766547,69
"JWG-071, AX15836",1.2645127867940087,0.2316245885270382,Cells_AreaShape_Zernike_4_2,0.6352153391812834,70
"JWG-071, JWG-119",3.5564970955982114,0.0066772047336756115,Cells_AreaShape_Zernike_4_2,2.175405307405512,71
"AX15836, JWG-119",3.200628823832014,0.01364935978918667,Cells_AreaShape_Zernike_4_2,1.8648877183334076,72
"DMSO, JWG-071",1.8313216098895004,0.10608393031700955,Cells_AreaShape_Zernike_4_4,0.9743503984098042,73
"DMSO, AX15836",-3.793305252009515,0.004206348414848804,Cells_AreaShape_Zernike_4_4,2.3760947572371145,74
"DMSO, JWG-119",7.701083940482056,5.132321334042656e-05,Cells_AreaShape_Zernike_4_4,4.289686160318784,75
"JWG-071, AX15836",-3.6448004203398665,0.003748279629075659,Cells_AreaShape_Zernike_4_4,2.426168017348149,76
"JWG-071, JWG-119",3.33997576486064,0.005300214983925785,Cells_AreaShape_Zernike_4_4,2.275706514467304,77
"AX15836, JWG-119",8.819405838619835,7.243908385719912e-07,Cells_AreaShape_Zernike_4_4,6.140027050879777,78
"DMSO, JWG-071",-0.63340229390266,0.5448666496340995,Cells_AreaShape_Zernike_5_3,0.2637097737129547,79
"DMSO, AX15836",-0.5048602511326857,0.6282681954661227,Cells_AreaShape_Zernike_5_3,0.2018549248187883,80
"DMSO, JWG-119",5.354164323726806,0.0010367593677292032,Cells_AreaShape_Zernike_5_3,2.984322031840751,81
"JWG-071, AX15836",0.008011825317814853,0.9937256134066925,Cells_AreaShape_Zernike_5_3,0.0027335160389791386,82
