Paired,Statistics,P-value,Variables,logp,index
"DMSO, JWG-071",-3.739758195312868,0.0006235470084397921,Cells_AreaShape_Area,3.2051308000259593,1
"DMSO, AX15836",5.886190195291074,0.0002018635279394008,Cells_AreaShape_Area,3.694942140915208,2
"DMSO, JWG-119",-2.4374845109568897,0.04154213799795432,Cells_AreaShape_Area,1.3815111559275457,3
"JWG-071, AX15836",7.832473024822792,3.420056140392419e-05,Cells_AreaShape_Area,4.4659667649197345,4
"JWG-071, JWG-119",-1.325658852057347,0.22359174095473383,Cells_AreaShape_Area,0.6505442424852111,5
"AX15836, JWG-119",-5.376653683834812,0.00020030768083721212,Cells_AreaShape_Area,3.6983023972802536,6
"DMSO, JWG-071",-15.831417105464205,2.1493452955166252e-10,Cells_AreaShape_Compactness,9.667693808849549,7
"DMSO, AX15836",3.6000617735594975,0.006770113857681193,Cells_AreaShape_Compactness,2.1694040274231474,8
"DMSO, JWG-119",-9.733100216066362,2.549181183646364e-05,Cells_AreaShape_Compactness,4.5935992958522665,9
"JWG-071, AX15836",10.919637293245046,1.0744004629564072e-06,Cells_AreaShape_Compactness,5.968833813202921,10
"JWG-071, JWG-119",-9.30602969212314,3.408445315806084e-05,Cells_AreaShape_Compactness,4.4674436693152755,11
"AX15836, JWG-119",-9.915927352301047,2.1813026677617115e-05,Cells_AreaShape_Compactness,4.661284069488312,12
"DMSO, JWG-071",-19.772584762492293,4.178897368517819e-14,Cells_AreaShape_Eccentricity,13.378938294765375,13
"DMSO, AX15836",3.3630563384091903,0.009940144097228829,Cells_AreaShape_Eccentricity,2.0026073198101577,14
"DMSO, JWG-119",-6.530699118625024,0.0003167624223597687,Cells_AreaShape_Eccentricity,3.4992663445376158,15
"JWG-071, AX15836",11.067181072243176,2.6325244810307854e-06,Cells_AreaShape_Eccentricity,5.579627581423712,16
"JWG-071, JWG-119",-4.838006501580885,0.0018361496169018324,Cells_AreaShape_Eccentricity,2.7360919336209055,17
"AX15836, JWG-119",-7.109794534539837,0.00012950604431761288,Cells_AreaShape_Eccentricity,3.88770996167904,18
"DMSO, JWG-071",-4.031573218776701,0.001054427051078078,Cells_AreaShape_Extent,2.976983460884322,19
"DMSO, AX15836",-1.7105922132164013,0.12735610189042354,Cells_AreaShape_Extent,0.8949802422680516,20
"DMSO, JWG-119",10.07417512926649,2.0220017126746608e-05,Cells_AreaShape_Extent,4.694218480889014,21
"JWG-071, AX15836",-0.25217086071659106,0.8070624865645486,Cells_AreaShape_Extent,0.09309283885960191,22
"JWG-071, JWG-119",10.240041552988002,1.799797426761137e-05,Cells_AreaShape_Extent,4.744776373447058,23
"AX15836, JWG-119",10.210111993304242,1.5638082799801458e-05,Cells_AreaShape_Extent,4.80581649171762,24
"DMSO, JWG-071",-29.287625449863317,1.1904724823715791e-11,Cells_AreaShape_FormFactor,10.92428063880786,25
"DMSO, AX15836",-0.6704981685712992,0.5226043593012327,Cells_AreaShape_FormFactor,0.2818269719286814,26
"DMSO, JWG-119",-0.5951484724025107,0.5702525654541963,Cells_AreaShape_FormFactor,0.24393275224141495,27
"JWG-071, AX15836",11.104516764873233,1.4426447152667377e-06,Cells_AreaShape_FormFactor,5.840840610831216,28
"JWG-071, JWG-119",4.5396472703830115,0.0023548860904242506,Cells_AreaShape_FormFactor,2.628030095540029,29
"AX15836, JWG-119",-0.2914024811690094,0.7771266459734678,Cells_AreaShape_FormFactor,0.10950819977635344,30
"DMSO, JWG-071",-13.985940124139551,1.2373090603571222e-07,Cells_AreaShape_Solidity,6.907521806884336,31
"DMSO, AX15836",0.3424629883425606,0.7410372853592113,Cells_AreaShape_Solidity,0.13015993990409605,32
"DMSO, JWG-119",6.1915451614204295,0.00044617242888436194,Cells_AreaShape_Solidity,3.350497270343841,33
"JWG-071, AX15836",7.9461130190091955,5.81893674213062e-06,Cells_AreaShape_Solidity,5.235156364011768,34
"JWG-071, JWG-119",7.21928943557058,0.00016672298975442147,Cells_AreaShape_Solidity,3.7780045103395103,35
"AX15836, JWG-119",6.110453897039278,0.00043679853338018915,Cells_AreaShape_Solidity,3.359718828512935,36
"DMSO, JWG-071",11.944824004282932,5.113831742557131e-10,Cells_AreaShape_Zernike_0_0,9.29125356541432,37
"DMSO, AX15836",-3.493974019049958,0.008421939620030664,Cells_AreaShape_Zernike_0_0,2.074587876520776,38
"DMSO, JWG-119",10.692243134536335,1.3466873981711592e-05,Cells_AreaShape_Zernike_0_0,4.870733203835271,39
"JWG-071, AX15836",-7.892109867336026,3.895404707801481e-05,Cells_AreaShape_Zernike_0_0,4.4094474152098115,40
"JWG-071, JWG-119",9.963424110030944,2.1259933152154785e-05,Cells_AreaShape_Zernike_0_0,4.672438105367564,41
"AX15836, JWG-119",11.124916923539645,7.418554649183795e-06,Cells_AreaShape_Zernike_0_0,5.129680699711246,42
"DMSO, JWG-071",19.495028443998457,6.939466348870003e-13,Cells_AreaShape_Zernike_2_0,12.158673925892714,43
"DMSO, AX15836",-2.923425733112024,0.019479598790829885,Cells_AreaShape_Zernike_2_0,1.710419992258381,44
"DMSO, JWG-119",11.276471645363099,9.556124982025939e-06,Cells_AreaShape_Zernike_2_0,5.01971817886259,45
"JWG-071, AX15836",-10.577233853664707,3.320812500307461e-06,Cells_AreaShape_Zernike_2_0,5.478755644841433,46
"JWG-071, JWG-119",10.476250724246594,1.549411134516542e-05,Cells_AreaShape_Zernike_2_0,4.809833327392325,47
"AX15836, JWG-119",11.519739598433567,7.230890345021672e-06,Cells_AreaShape_Zernike_2_0,5.1408082244034885,48
"DMSO, JWG-071",-7.738956469586367,1.1792497318151768e-05,Cells_AreaShape_Zernike_3_1,4.928394213849445,49
"DMSO, AX15836",2.2910654216156194,0.05220371893719296,Cells_AreaShape_Zernike_3_1,1.2822985572205237,50
"DMSO, JWG-119",-8.837500326998365,4.331338904566985e-05,Cells_AreaShape_Zernike_3_1,4.3633778336737645,51
"JWG-071, AX15836",5.831091734824508,0.00016112653431916998,Cells_AreaShape_Zernike_3_1,3.792832934071891,52
