Paired,Statistics,P-value,Variables,logp,index
"DMSO, FMF-03-146-1",-4.770661478813178,0.0015888851440303514,Cells_AreaShape_Area,2.7989074955658597,1
"DMSO, FMF-04-112-1",-4.0768279849671725,0.0034824248592144427,Cells_AreaShape_Area,2.4581182456378388,2
"FMF-03-146-1, FMF-04-112-1",1.2180913118800865,0.24440059227748318,Cells_AreaShape_Area,0.6118977459641355,3
"DMSO, FMF-03-146-1",0.65396829250536,0.5320073828759073,Cells_AreaShape_Compactness,0.2740823407876225,4
"DMSO, FMF-04-112-1",5.147886977504591,0.0007784429502889526,Cells_AreaShape_Compactness,3.1087732100484264,5
"FMF-03-146-1, FMF-04-112-1",2.755746002022213,0.016199494384943017,Cells_AreaShape_Compactness,1.7904985403497156,6
"DMSO, FMF-03-146-1",-2.8532661818906995,0.02285207897772802,Cells_AreaShape_Eccentricity,1.6410742836692427,7
"DMSO, FMF-04-112-1",2.385041380800207,0.04471737247878097,Cells_AreaShape_Eccentricity,1.3495237228204475,8
"FMF-03-146-1, FMF-04-112-1",3.7973790216380094,0.002190818999550616,Cells_AreaShape_Eccentricity,2.65939350137288,9
"DMSO, FMF-03-146-1",-3.1423401110755544,0.014780232560028504,Cells_AreaShape_Extent,1.8303187324674113,10
"DMSO, FMF-04-112-1",-5.722535072812287,0.00030132225407408005,Cells_AreaShape_Extent,3.5209687924399264,11
"FMF-03-146-1, FMF-04-112-1",-0.16147398185142472,0.8746547823246886,Cells_AreaShape_Extent,0.05816332493738864,12
"DMSO, FMF-03-146-1",-2.6023860187887586,0.03475561144693288,Cells_AreaShape_FormFactor,1.4589750666510184,13
"DMSO, FMF-04-112-1",0.20087409770705938,0.846212677169098,Cells_AreaShape_FormFactor,0.07252047276111137,14
"FMF-03-146-1, FMF-04-112-1",2.371568524084155,0.03682404841024428,Cells_AreaShape_FormFactor,1.4338684671742565,15
"DMSO, FMF-03-146-1",-4.012243366808896,0.004795220074875817,Cells_AreaShape_Solidity,2.3191914562491265,16
"DMSO, FMF-04-112-1",-3.8941100105246886,0.004966478347560532,Cells_AreaShape_Solidity,2.303951453589105,17
"FMF-03-146-1, FMF-04-112-1",1.522685414335158,0.1556532203873937,Cells_AreaShape_Solidity,0.8078418895525777,18
"DMSO, FMF-03-146-1",1.0109386933872782,0.34158107088265366,Cells_AreaShape_Zernike_0_0,0.46650620425642125,19
"DMSO, FMF-04-112-1",-2.5764297213494793,0.030524440443201857,Cells_AreaShape_Zernike_0_0,1.515352288551208,20
"FMF-03-146-1, FMF-04-112-1",-2.491060701099112,0.026868627541873406,Cells_AreaShape_Zernike_0_0,1.5707545169019266,21
"DMSO, FMF-03-146-1",-2.2558754110759343,0.05485004280642745,Cells_AreaShape_Zernike_2_0,1.2608230291542113,22
"DMSO, FMF-04-112-1",-7.154691333582055,9.290178361311142e-05,Cells_AreaShape_Zernike_2_0,4.0319759479450425,23
"FMF-03-146-1, FMF-04-112-1",-3.141332612246997,0.007344403128533573,Cells_AreaShape_Zernike_2_0,2.13404349306871,24
"DMSO, FMF-03-146-1",-0.6052053802598388,0.5629691728000901,Cells_AreaShape_Zernike_3_1,0.2495153856981398,25
"DMSO, FMF-04-112-1",2.9211593658259556,0.01860148512614537,Cells_AreaShape_Zernike_3_1,1.730452380709945,26
"FMF-03-146-1, FMF-04-112-1",2.1246294055322537,0.055708917231609555,Cells_AreaShape_Zernike_3_1,1.2540752824830623,27
"DMSO, FMF-03-146-1",3.814549101779194,0.005993955891351261,Cells_AreaShape_Zernike_3_3,2.222286457288478,28
"DMSO, FMF-04-112-1",1.4737890555584443,0.1819289779120239,Cells_AreaShape_Zernike_3_3,0.740098120370483,29
"FMF-03-146-1, FMF-04-112-1",-1.695309652364702,0.11213485652690594,Cells_AreaShape_Zernike_3_3,0.9502593682768684,30
"DMSO, FMF-03-146-1",-3.4169286286247704,0.01047280026093071,Cells_AreaShape_Zernike_4_0,1.9799371793271174,31
"DMSO, FMF-04-112-1",-2.1642368106880476,0.062272504982803345,Cells_AreaShape_Zernike_4_0,1.2057036639344945,32
"FMF-03-146-1, FMF-04-112-1",1.938271619236253,0.07887426374576742,Cells_AreaShape_Zernike_4_0,1.103064681664042,33
"DMSO, FMF-03-146-1",-3.9519623447513235,0.004711055036910349,Cells_AreaShape_Zernike_4_2,2.3268818220859337,34
"DMSO, FMF-04-112-1",0.7970290765184644,0.44984403060795775,Cells_AreaShape_Zernike_4_2,0.34693803819740726,35
"FMF-03-146-1, FMF-04-112-1",3.373800134201415,0.004554270554181274,Cells_AreaShape_Zernike_4_2,2.3415811729528118,36
"DMSO, FMF-03-146-1",1.4812239963023082,0.18001730542460653,Cells_AreaShape_Zernike_4_4,0.7446857432902786,37
"DMSO, FMF-04-112-1",8.918243951594539,7.522650693238004e-06,Cells_AreaShape_Zernike_4_4,5.123629103742588,38
"FMF-03-146-1, FMF-04-112-1",2.2580381388935478,0.049400217504352806,Cells_AreaShape_Zernike_4_4,1.306271138915781,39
"DMSO, FMF-03-146-1",3.267800283537661,0.012500161998725803,Cells_AreaShape_Zernike_5_3,1.9030843586161998,40
"DMSO, FMF-04-112-1",2.467069633307427,0.04107905238610827,Cells_AreaShape_Zernike_5_3,1.3863795832887533,41
"FMF-03-146-1, FMF-04-112-1",-0.4744406868013484,0.6425192350340028,Cells_AreaShape_Zernike_5_3,0.19211386637163455,42
"DMSO, FMF-03-146-1",6.005689015145516,0.0004271298703280818,Cells_AreaShape_Zernike_5_5,3.3694400561427225,43
"DMSO, FMF-04-112-1",7.18012467173762,7.174162452881586e-05,Cells_AreaShape_Zernike_5_5,4.1442287933150235,44
"FMF-03-146-1, FMF-04-112-1",-1.6536693712774255,0.1264708969973829,Cells_AreaShape_Zernike_5_5,0.8980094011884218,45
"DMSO, FMF-03-146-1",1.0647537693673998,0.320413661729807,Cells_AreaShape_Zernike_6_4,0.4942889748369351,46
"DMSO, FMF-04-112-1",7.507580725390347,2.275149570231298e-05,Cells_AreaShape_Zernike_6_4,4.642990047186701,47
"FMF-03-146-1, FMF-04-112-1",2.0279614426324466,0.07256407153883278,Cells_AreaShape_Zernike_6_4,1.1392783571877736,48
"DMSO, FMF-03-146-1",3.572134470984992,0.008165139121899588,Cells_AreaShape_Zernike_6_6,2.088036411128346,49
"DMSO, FMF-04-112-1",6.748400268824896,0.0001732699989368757,Cells_AreaShape_Zernike_6_6,3.761276627269282,50
"FMF-03-146-1, FMF-04-112-1",1.540590896807629,0.14663205818353917,Cells_AreaShape_Zernike_6_6,0.8337710694620117,51
"DMSO, FMF-03-146-1",7.189428062710732,0.0001274742483455495,Cells_AreaShape_Zernike_7_5,3.8945775401790224,52
"DMSO, FMF-04-112-1",5.074649326477306,0.0010885187357268609,Cells_AreaShape_Zernike_7_5,2.963164091425125,53
"FMF-03-146-1, FMF-04-112-1",-2.1035943940567963,0.05433004028696981,Cells_AreaShape_Zernike_7_5,1.26495997292685,54
"DMSO, FMF-03-146-1",3.263424407890039,0.013207286685269527,Cells_AreaShape_Zernike_7_7,1.8791863950009313,55
"DMSO, FMF-04-112-1",3.9171170884493365,0.004893359634035202,Cells_AreaShape_Zernike_7_7,2.3103928648986716,56
"FMF-03-146-1, FMF-04-112-1",-0.7324668751551244,0.47848121818940337,Cells_AreaShape_Zernike_7_7,0.3201351049023732,57
"DMSO, FMF-03-146-1",2.9612135706250995,0.020072535044181522,Cells_AreaShape_Zernike_9_5,1.6973977751869367,58
"DMSO, FMF-04-112-1",7.199704643312887,2.4782857789056966e-05,Cells_AreaShape_Zernike_9_5,4.605848615213535,59
"FMF-03-146-1, FMF-04-112-1",-0.4671684878766495,0.6522879909938422,Cells_AreaShape_Zernike_9_5,0.18556061702115317,60
"DMSO, FMF-03-146-1",4.388880228576404,0.0030500091680651536,Cells_AreaShape_Zernike_9_7,2.5156988551994037,61
"DMSO, FMF-04-112-1",2.3847681740238973,0.04766432614170877,Cells_AreaShape_Zernike_9_7,1.3218065424720191,62
"FMF-03-146-1, FMF-04-112-1",-1.7134583718714487,0.1089996226418416,Cells_AreaShape_Zernike_9_7,0.9625750055901064,63
"DMSO, FMF-03-146-1",5.057134845833608,0.001272344129605122,Cells_AreaShape_Zernike_9_9,2.8953954096188452,64
"DMSO, FMF-04-112-1",2.881326458631755,0.02079846336466195,Cells_AreaShape_Zernike_9_9,1.6819687504651286,65
"FMF-03-146-1, FMF-04-112-1",-2.754290711662478,0.017721714696224952,Cells_AreaShape_Zernike_9_9,1.7514942594760052,66
"DMSO, FMF-03-146-1",15.242965052190922,1.9959437730771524e-07,Cells_Correlation_Correlation_DNA_AGP,6.699851697210107,67
"DMSO, FMF-04-112-1",9.570700859482251,1.3275565544911858e-05,Cells_Correlation_Correlation_DNA_AGP,4.876946968717092,68
"FMF-03-146-1, FMF-04-112-1",-2.097795422220359,0.05565084440731838,Cells_Correlation_Correlation_DNA_AGP,1.2545282415959997,69
"DMSO, FMF-03-146-1",0.06797126948455656,0.9474026416157931,Cells_Correlation_Correlation_DNA_ER,0.02346540867544354,70
"DMSO, FMF-04-112-1",4.278271032972755,0.0021529037068870253,Cells_Correlation_Correlation_DNA_ER,2.6669753944695134,71
"FMF-03-146-1, FMF-04-112-1",2.934123035846687,0.011046165215842885,Cells_Correlation_Correlation_DNA_ER,1.9567884653860796,72
"DMSO, FMF-03-146-1",2.6833187103229403,0.026595565562351643,Cells_Correlation_Correlation_DNA_Mito,1.5751907698481247,73
"DMSO, FMF-04-112-1",6.071972405191058,8.13166828145126e-05,Cells_Correlation_Correlation_DNA_Mito,4.089820346029282,74
"FMF-03-146-1, FMF-04-112-1",1.1707211677765303,0.2651243594527617,Cells_Correlation_Correlation_DNA_Mito,0.5765503677406982,75
"DMSO, FMF-03-146-1",-2.7849439012956627,0.020801716603885925,Cells_Correlation_Correlation_DNA_RNA,1.681900824612537,76
"DMSO, FMF-04-112-1",0.1093657088169898,0.9154207403932755,Cells_Correlation_Correlation_DNA_RNA,0.03837925212686221,77
"FMF-03-146-1, FMF-04-112-1",2.033202994461637,0.06188183271828092,Cells_Correlation_Correlation_DNA_RNA,1.2084368325348915,78
"DMSO, FMF-03-146-1",-5.373346526823288,0.0009234653906050681,Cells_Correlation_Correlation_ER_AGP,3.0345793762940105,79
"DMSO, FMF-04-112-1",-2.7746204234407963,0.02488155064374541,Cells_Correlation_Correlation_ER_AGP,1.6041225574604399,80
"FMF-03-146-1, FMF-04-112-1",3.2370313852289136,0.007655926644126353,Cells_Correlation_Correlation_ER_AGP,2.116002236438601,81
"DMSO, FMF-03-146-1",-3.6670941186326496,0.007172607316734453,Cells_Correlation_Correlation_ER_RNA,2.1443229451081867,82
"DMSO, FMF-04-112-1",-3.3153952381832625,0.007709519711367972,Cells_Correlation_Correlation_ER_RNA,2.112972676838765,83
"FMF-03-146-1, FMF-04-112-1",2.1265162104352973,0.061917427726020706,Cells_Correlation_Correlation_ER_RNA,1.2081870941145618,84
"DMSO, FMF-03-146-1",-1.9964892382079915,0.08413235393373143,Cells_Correlation_Correlation_Mito_AGP,1.075036959816961,85
"DMSO, FMF-04-112-1",-0.12004931116435226,0.9072074824132432,Cells_Correlation_Correlation_Mito_AGP,0.042293376487564135,86
"FMF-03-146-1, FMF-04-112-1",1.7689862436790984,0.10721883030551375,Cells_Correlation_Correlation_Mito_AGP,0.9697289349826747,87
