Paired,Statistics,P-value,Variables,logp,index
"DMSO, FMF-04-159-2",-64.73484180717381,1.3314857800205216e-12,Cells_AreaShape_Area,11.875663467371188,1
"DMSO, FMF-05-176-1",-11.609805997529373,7.758655131435157e-06,Cells_AreaShape_Area,5.110213551887985,2
"FMF-04-159-2, FMF-05-176-1",-3.1114942178540597,0.016388805902844562,Cells_AreaShape_Area,1.7854526882048132,3
"DMSO, FMF-04-159-2",-21.915287893919988,7.681899067428931e-08,Cells_AreaShape_Compactness,7.114531403334163,4
"DMSO, FMF-05-176-1",4.774889845228985,0.0018957804602876146,Cells_AreaShape_Compactness,2.7222119572965355,5
"FMF-04-159-2, FMF-05-176-1",18.805122979431605,2.5121982090793263e-11,Cells_AreaShape_Compactness,10.599946098329156,6
"DMSO, FMF-04-159-2",-19.068101124031287,2.0433082033655847e-07,Cells_AreaShape_Eccentricity,6.689666121411738,7
"DMSO, FMF-05-176-1",3.243357812035364,0.013870302211465478,Cells_AreaShape_Eccentricity,1.8579140762488517,8
"FMF-04-159-2, FMF-05-176-1",14.48075946524195,1.5685724561598732e-09,Cells_AreaShape_Eccentricity,8.804495415389171,9
"DMSO, FMF-04-159-2",21.18854816911086,4.4999519482058125e-08,Cells_AreaShape_Extent,7.346792123722541,10
"DMSO, FMF-05-176-1",-0.1902270108768397,0.8544128410725582,Cells_AreaShape_Extent,0.06833223320287099,11
"FMF-04-159-2, FMF-05-176-1",-9.828102018039027,1.5152280215113326e-06,Cells_AreaShape_Extent,5.819522006744169,12
"DMSO, FMF-04-159-2",5.8425022882311755,0.0004835317720004963,Cells_AreaShape_FormFactor,3.3155749839364077,13
"DMSO, FMF-05-176-1",19.298142355405062,2.237252164125337e-07,Cells_AreaShape_FormFactor,6.650285063146902,14
"FMF-04-159-2, FMF-05-176-1",16.1132896944476,7.309745386029877e-08,Cells_AreaShape_FormFactor,7.136097750178671,15
"DMSO, FMF-04-159-2",3.615971918526473,0.007608886307012233,Cells_AreaShape_Solidity,2.118678905136682,16
"DMSO, FMF-05-176-1",6.446011459102901,0.00030637936892268105,Cells_AreaShape_Solidity,3.5137404827231906,17
"FMF-04-159-2, FMF-05-176-1",3.2759033118308634,0.006371818745551635,Cells_AreaShape_Solidity,2.195736586751375,18
"DMSO, FMF-04-159-2",22.10172861539685,5.676347303228477e-08,Cells_AreaShape_Zernike_0_0,7.245931040406017,19
"DMSO, FMF-05-176-1",2.179635622729174,0.06395180042107886,Cells_AreaShape_Zernike_0_0,1.1941472244154596,20
"FMF-04-159-2, FMF-05-176-1",-14.327472365105468,9.33396688199869e-10,Cells_AreaShape_Zernike_0_0,9.02993374437552,21
"DMSO, FMF-04-159-2",19.211000706460897,1.9278947359648943e-07,Cells_AreaShape_Zernike_2_0,6.714916682485892,22
"DMSO, FMF-05-176-1",-10.399145094158813,1.5164549652050856e-05,Cells_AreaShape_Zernike_2_0,4.819170482585984,23
"FMF-04-159-2, FMF-05-176-1",-19.510849749565732,1.1856440501888325e-10,Cells_AreaShape_Zernike_2_0,9.92604567373844,24
"DMSO, FMF-04-159-2",-22.310168042108007,5.550694970724768e-08,Cells_AreaShape_Zernike_3_1,7.25565263794843,25
"DMSO, FMF-05-176-1",4.291738217631213,0.0034754099072761106,Cells_AreaShape_Zernike_3_1,2.458993965183398,26
"FMF-04-159-2, FMF-05-176-1",15.427470451257792,4.427287397771453e-09,Cells_AreaShape_Zernike_3_1,8.353862284839547,27
"DMSO, FMF-04-159-2",20.34192421463628,1.0278425155000965e-07,Cells_AreaShape_Zernike_3_3,6.988073422197444,28
"DMSO, FMF-05-176-1",20.30015782728439,1.3381908696474693e-07,Cells_AreaShape_Zernike_3_3,6.87348193759756,29
"FMF-04-159-2, FMF-05-176-1",4.442507538487932,0.0006920253436454745,Cells_AreaShape_Zernike_3_3,3.1598780003353895,30
"DMSO, FMF-04-159-2",-11.921715922111431,5.783041340786257e-06,Cells_AreaShape_Zernike_4_0,5.237843703077492,31
"DMSO, FMF-05-176-1",-1.0617418996044068,0.322615995872088,Cells_AreaShape_Zernike_4_0,0.49131410332412506,32
"FMF-04-159-2, FMF-05-176-1",8.827610996982955,6.862318310229982e-07,Cells_AreaShape_Zernike_4_0,6.163529140962123,33
"DMSO, FMF-04-159-2",-19.52314304192543,1.3257819191947426e-07,Cells_AreaShape_Zernike_4_2,6.877527908117927,34
"DMSO, FMF-05-176-1",3.2098452888551243,0.014482236091365387,Cells_AreaShape_Zernike_4_2,1.8391643768705441,35
"FMF-04-159-2, FMF-05-176-1",13.151285841038067,2.3336501911230827e-08,Cells_AreaShape_Zernike_4_2,7.6319642431709545,36
"DMSO, FMF-04-159-2",5.892748118119792,0.0004954774679550064,Cells_AreaShape_Zernike_4_4,3.3049760904527807,37
"DMSO, FMF-05-176-1",15.958097447062958,8.153703522272185e-07,Cells_AreaShape_Zernike_4_4,6.088645084027114,38
"FMF-04-159-2, FMF-05-176-1",11.812821991354129,3.0777480088771944e-07,Cells_AreaShape_Zernike_4_4,6.51176694098087,39
