plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
C-7210-01-CMP-014	A01				DMSO
C-7210-01-CMP-014	A02				DMSO
C-7210-01-CMP-014	A03				DMSO
C-7210-01-CMP-014	A04				DMSO
C-7210-01-CMP-014	A05				DMSO
C-7210-01-CMP-014	A06				DMSO
C-7210-01-CMP-014	A07				DMSO
C-7210-01-CMP-014	A08				DMSO
C-7210-01-CMP-014	A09				DMSO
C-7210-01-CMP-014	A10				DMSO
C-7210-01-CMP-014	A11				DMSO
C-7210-01-CMP-014	A12				DMSO
C-7210-01-CMP-014	A13				DMSO
C-7210-01-CMP-014	A14				DMSO
C-7210-01-CMP-014	A15				DMSO
C-7210-01-CMP-014	A16	BRD-U00086680-001-01-9		0.2	DMSO
C-7210-01-CMP-014	A17	BRD-U00086676-001-01-9		0.04	DMSO
C-7210-01-CMP-014	A18	BRD-U00086681-001-01-9		0.2	DMSO
C-7210-01-CMP-014	A19	BRD-U00086677-001-01-9		0.04	DMSO
C-7210-01-CMP-014	A20	BRD-U00086682-001-01-9		0.2	DMSO
C-7210-01-CMP-014	A21	BRD-U00086678-001-01-9		0.04	DMSO
C-7210-01-CMP-014	A22				DMSO
C-7210-01-CMP-014	A23				DMSO
C-7210-01-CMP-014	A24				DMSO
C-7210-01-CMP-014	B01				DMSO
C-7210-01-CMP-014	B02				DMSO
C-7210-01-CMP-014	B03				DMSO
C-7210-01-CMP-014	B04	BRD-U00086682-001-01-9		0.04	DMSO
C-7210-01-CMP-014	B05	BRD-U00086675-001-01-9		0.04	DMSO
C-7210-01-CMP-014	B06	BRD-U00086676-001-01-9		0.004	DMSO
C-7210-01-CMP-014	B07	BRD-U00086680-001-01-9		0.04	DMSO
C-7210-01-CMP-014	B08	BRD-U00086677-001-01-9		0.004	DMSO
C-7210-01-CMP-014	B09	BRD-U00086681-001-01-9		0.04	DMSO
C-7210-01-CMP-014	B10	BRD-U00086678-001-01-9		0.004	DMSO
C-7210-01-CMP-014	B11	BRD-U00086674-001-01-9		0.04	DMSO
C-7210-01-CMP-014	B12	BRD-U00086672-001-01-9		0.2	DMSO
C-7210-01-CMP-014	B13	BRD-U00086672-001-01-9		0.2	DMSO
C-7210-01-CMP-014	B14	BRD-U00086673-001-01-9		0.2	DMSO
C-7210-01-CMP-014	B15	BRD-U00086673-001-01-9		0.2	DMSO
C-7210-01-CMP-014	B16	BRD-U00086679-001-01-9		0.2	DMSO
C-7210-01-CMP-014	B17	BRD-U00086679-001-01-9		0.2	DMSO
C-7210-01-CMP-014	B18	BRD-U00086674-001-01-9		0.04	DMSO
C-7210-01-CMP-014	B19	BRD-U00086677-001-01-9		0.004	DMSO
C-7210-01-CMP-014	B20	BRD-U00086675-001-01-9		0.04	DMSO
C-7210-01-CMP-014	B21	BRD-U00086678-001-01-9		0.004	DMSO
C-7210-01-CMP-014	B22				DMSO
C-7210-01-CMP-014	B23				DMSO
C-7210-01-CMP-014	B24				DMSO
C-7210-01-CMP-014	C01				DMSO
C-7210-01-CMP-014	C02				DMSO
C-7210-01-CMP-014	C03				DMSO
C-7210-01-CMP-014	C04	BRD-U00086674-001-01-9		0.2	DMSO
C-7210-01-CMP-014	C05	BRD-U00086672-001-01-9		1	DMSO
C-7210-01-CMP-014	C06	BRD-U00086675-001-01-9		0.2	DMSO
C-7210-01-CMP-014	C07	BRD-U00086673-001-01-9		1	DMSO
C-7210-01-CMP-014	C08	BRD-U00086679-001-01-9		0.4	DMSO
C-7210-01-CMP-014	C09	BRD-U00086679-001-01-9		1	DMSO
C-7210-01-CMP-014	C10	BRD-U00086672-001-01-9		0.4	DMSO
C-7210-01-CMP-014	C11	BRD-U00086674-001-01-9		0.4	DMSO
C-7210-01-CMP-014	C12	BRD-U00086673-001-01-9		0.4	DMSO
C-7210-01-CMP-014	C13	BRD-U00086675-001-01-9		0.4	DMSO
C-7210-01-CMP-014	C14	BRD-U00086676-001-01-9		0.01	DMSO
C-7210-01-CMP-014	C15	BRD-U00086680-001-01-9		0.4	DMSO
C-7210-01-CMP-014	C16	BRD-U00086677-001-01-9		0.01	DMSO
C-7210-01-CMP-014	C17	BRD-U00086681-001-01-9		0.4	DMSO
C-7210-01-CMP-014	C18	BRD-U00086678-001-01-9		0.01	DMSO
C-7210-01-CMP-014	C19	BRD-U00086682-001-01-9		0.4	DMSO
C-7210-01-CMP-014	C20	BRD-U00086682-001-01-9		0.4	DMSO
C-7210-01-CMP-014	C21	BRD-U00086676-001-01-9		0.004	DMSO
C-7210-01-CMP-014	C22				DMSO
C-7210-01-CMP-014	C23				DMSO
C-7210-01-CMP-014	C24				DMSO
C-7210-01-CMP-014	D01				DMSO
C-7210-01-CMP-014	D02				DMSO
C-7210-01-CMP-014	D03				DMSO
C-7210-01-CMP-014	D04	BRD-U00086675-001-01-9		0.04	DMSO
C-7210-01-CMP-014	D05	BRD-U00086676-001-01-9		0.004	DMSO
C-7210-01-CMP-014	D06	BRD-U00086680-001-01-9		0.04	DMSO
C-7210-01-CMP-014	D07	BRD-U00086674-001-01-9		0.2	DMSO
C-7210-01-CMP-014	D08	BRD-U00086681-001-01-9		0.04	DMSO
C-7210-01-CMP-014	D09	BRD-U00086675-001-01-9		0.2	DMSO
C-7210-01-CMP-014	D10	BRD-U00086682-001-01-9		0.04	DMSO
